# CLAIMS.tsv — EVERY PUBLISHED NUMBER, ITS VALUE, AND THE COMMAND THAT REPRODUCES IT.
#
# ⛔⛔ WHY THIS FILE EXISTS.  Measured 2026-09-11 (D202): all seven headline
# quantities in `docs/TACAS-PRICING.md` §1 were CORRECT and not one stated its
# denominator.  Re-deriving them with the obvious command gives 23,352 / 618 / 59
# against the published 18,824 / 616 / 55 — because `lean_lines` excludes
# `Main.lean`'s 4,390 and `design_documents` excludes `docs/seals/`.  The author
# of that day's "the population is the claim" lesson got three of seven wrong.
# ⇒ A CORRECT NUMBER WITH AN UNSTATED DENOMINATOR FAILS REPRODUCTION EXACTLY LIKE
#   A WRONG ONE, AND FAILS WORSE: the author defends it, the reproducer cannot see
#   the disagreement, and both are right.
#
# ⭐ THIS IS `CLAIM-2`'s STATED PRECONDITION, BUILT: *"the first task is a format,
# not a gate."*  The denominators were prose; a gate over prose would have been a
# third copy of the mistake wearing a fix's clothes.  Here each denominator IS the
# command, so the claim and its population cannot drift apart — there is nothing
# to keep in step.
#
# ⭐ AND IT IS G5's ARTIFACT-EVALUATION SPINE.  TACAS AE asks a stranger to
# reproduce every claim.  With this file that is one command, and the reviewer
# reads the derivation rather than trusting it.
#
# ⛔ THERE IS DELIBERATELY NO `--update`.  A gate that can rewrite its expected
# values from the thing it measures is not a gate; it is a recorder that always
# agrees.  When a number legitimately moves, a human edits this file and the
# change is visible in the diff, with its reason in the commit.
#   [[feedback-widening-a-gate-needs-a-second-source]]
#
# ⚠️ SCOPE, STATED SO THE FILE IS NOT READ AS COMPLETE.  These are the claims that
# had NO gate.  The six COVERAGE numbers (mnemonics, forms, roster rows, machine
# forms, spellings) are gated independently and far more strongly by
# `scripts/claimed_forms.py`, which derives them from TWO sources that are not
# derived from each other and fails CI when the prose disagrees.  They are NOT
# duplicated here: a second, weaker derivation of an already-gated number is a
# duplicate born in agreement.
#
# ⛔⛔ LIVE vs FROZEN, AND THE DISTINCTION IS LOAD-BEARING.  `TACAS-PRICING.md` §1
# states its numbers **AT `7bb57ee`** — a measurement about a sha, which is
# legitimate and correctly labelled, and which MUST NOT be re-derived at HEAD.
# THIS file carries the LIVE value, re-derived every run.  Two rows already
# differ (`decisions` 205 vs the frozen 200; `design_documents` 59 vs 55) and
# their `appears_in` says so rather than pointing at a file that prints a
# different number.
# ⇒ 🔑 A MANIFEST THAT CITES A FROZEN SNAPSHOT AS IF IT WERE LIVE MANUFACTURES
#   THE EXACT CROSS-DOCUMENT CONTRADICTION IT EXISTS TO PREVENT.  Caught while
#   writing this file, one edit after building the gate for it.
#
# ⛔⛔ EACH ROW PINS THE SHA IT IS PUBLISHED AT, AND THE DERIVATION RUNS THERE.
# ADDED 2026-09-12 AFTER THIS GATE REDDED THE BUILD ON ITS FIRST CI RUN — ON ITS
# OWN AUTHOR, WITHIN THE HOUR.  I had it derive at HEAD.  `decisions` then moved
# 205 -> 206 the moment I recorded D205, and the build went red for a number that
# had not drifted: it had GROWN, by ordinary work, exactly as it is supposed to.
# ⇒ 🔑 A GATE ON A QUANTITY THE WORK CONSUMES IS A CHORE, NOT A GATE.  Every
#   decision commit would have demanded a second edit here, and the only thing
#   the red could ever mean is "you did some work".
# ⇒ 🔑 AND THE DEEPER ERROR: NOTHING PUBLISHES THESE AS *LIVE* CLAIMS.
#   `TACAS-PRICING.md` §1 states all seven **AT `7bb57ee`** — correctly labelled,
#   a measurement about a sha.  Deriving at HEAD was therefore checking a claim
#   NOBODY MAKES, and failing on the difference.  **I built a register for claims
#   that do not exist yet.**
# ✅ Pinned, all seven reproduce EXACTLY at `7bb57ee`, which is the whole point:
#   the gate now verifies what is actually published, and cannot churn.
# ⭐ AND THIS IS PRECISELY WHAT ARTIFACT EVALUATION NEEDS: a reviewer checks out
#   the sha the paper names and runs the command.  When a submission sha exists,
#   its rows are added beside these; they do not replace them.
#
# COLUMNS (tab-separated):  id  value  sha  command  appears_in
# The command must print EXACTLY the value on stdout, is run from the repo root, and
# has $SHA bound to the row's sha.  A pinned sha absent from the clone is a FINDING,
# never a pass — `fetch-depth: 0` is required of any job that runs this.
id	value	sha	command	appears_in
p2_ceiling_partition_residue	0	d7dbd58	R=$(git show "$SHA":docs/P2-ROSTER.md); t=$(echo "$R" | grep -m1 -oE '[0-9,]+ instructions the model does' | tr -dc '0-9'); l=$(echo "$R" | grep -m1 '| 2 | the LOCK vocabulary' | cut -d'|' -f5 | tr -d ' ,'); b=$(echo "$R" | grep -A9 'BY (mnemonic, BUCKET)' | grep -E 'the oracle (EXECUTES|REFUSES|STALLS)|not asked at its own bucket' | cut -d'|' -f4 | tr -d ' ,' | paste -sd+ -); echo $((t - l - (b)))	paper/x86lean-semantics.tex §4.3 ("the five parts sum to the total")
diff_cases	89056	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -E '^cases=' | grep -oE '(^| )cases=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the current record)
diff_matched	68524	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -E '^cases=' | grep -oE '(^| )matched=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the current record)
diff_explained	29435	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -E '^cases=' | grep -oE '(^| )explained=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the current record)
diff_diverged	171	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -E '^cases=' | grep -oE '(^| )oracle-divergence=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the current record)
diff_unexplained	0	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -E '^cases=' | grep -oE '(^| )unexplained=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the current record)
diff_leaks	0	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -E '^cases=' | grep -oE '(^| )oracle-leaks=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the current record)
diff_vectors	1012	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -oE '^[0-9]+ vectors · ' | grep -oE '^[0-9]+'	paper/x86lean-semantics.tex §4.1 (the current record)
diff_prestates	88	d7dbd58	git show "$SHA":docs/DIFFERENTIAL-P2-BATCH22.md | grep -m1 -oE ' [0-9]+ pre-states · ' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §4.1 (the current record)
tier_exact	132	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Tiers:' | grep -oE 'T-exact [0-9]+' | grep -oE '[0-9]+$'	paper/x86lean-semantics.tex §2
tier_frame	26	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Tiers:' | grep -oE 'T-frame [0-9]+' | grep -oE '[0-9]+$'	paper/x86lean-semantics.tex §2
tier_absent	0	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Tiers:' | grep -oE 'T-absent [0-9]+' | grep -oE '[0-9]+$'	paper/x86lean-semantics.tex §2
decode_xed_rows	158	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -c '| XED (trusted) |'	paper/x86lean-semantics.tex §2
coverage_mnemonics	158	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Roster: ' | grep -oE '^Roster: [0-9]+ mnemonics' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §1, §2, §5 and §7 (the coverage table's roster line)
coverage_forms	1012	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Roster: ' | grep -oE ' in [0-9]+ differentially tested forms' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §5 (forms in the coverage table; NOT diff_vectors, which is the differential record's count)
coverage_rows_covered	500	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Roster: ' | grep -oE '[*][*][0-9]+ of the [0-9]+ rows[*][*]' | grep -oE '[0-9]+' | sed -n 1p	paper/x86lean-semantics.tex §5
coverage_rows_total	525	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Roster: ' | grep -oE '[*][*][0-9]+ of the [0-9]+ rows[*][*]' | grep -oE '[0-9]+' | sed -n 2p	paper/x86lean-semantics.tex §5
coverage_forms_covered	351	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Roster: ' | grep -oE '[*][*][0-9]+ of the [0-9]+ distinct machine forms[*][*]' | grep -oE '[0-9]+' | sed -n 1p	paper/x86lean-semantics.tex §5
coverage_forms_distinct	374	d7dbd58	git show "$SHA":docs/COVERAGE.md | grep -m1 -E '^Roster: ' | grep -oE '[*][*][0-9]+ of the [0-9]+ distinct machine forms[*][*]' | grep -oE '[0-9]+' | sed -n 2p	paper/x86lean-semantics.tex §5
proof_lines_countdown	14	d7dbd58	python3 scripts/proof_lines.py countdown_writes_no_memory --sha "$SHA"	paper/x86lean-semantics.tex §6 (frame tier)
proof_lines_scan	14	d7dbd58	python3 scripts/proof_lines.py scan_writes_no_memory --sha "$SHA"	paper/x86lean-semantics.tex §6 (frame tier)
proof_lines_prologue	34	d7dbd58	python3 scripts/proof_lines.py prologue_preserves_caller_frame --sha "$SHA"	paper/x86lean-semantics.tex §6 (labelled tier, 2 labels)
proof_lines_guarded	50	d7dbd58	python3 scripts/proof_lines.py guarded_writes_only_in_buffer --sha "$SHA"	paper/x86lean-semantics.tex §6 (labelled tier, 3 labels by label_fit.py's rule; recorded as 4 until D234)
proof_lines_fill	57	d7dbd58	python3 scripts/proof_lines.py fill_safe --sha "$SHA"	paper/x86lean-semantics.tex §6 (labelled tier, 5 labels)
proof_lines_memcpy	76	d7dbd58	python3 scripts/proof_lines.py memcpy_safe --sha "$SHA"	paper/x86lean-semantics.tex §6 (labelled tier, 7 labels)
fit_labels_prologue	2	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field labels:prologue_preserves_caller_frame	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_labels_guarded	3	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field labels:guarded_writes_only_in_buffer	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_labels_fill	5	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field labels:fill_safe	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_labels_memcpy	7	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field labels:memcpy_safe	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_intercept	22	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field intercept	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_slope	7.6	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field slope	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_at20	175	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field at20	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
fit_max_residual	5	673b64a	python3 scripts/label_fit.py --sha "$SHA" --field max_residual	paper/x86lean-semantics.tex §6 (the labelled tier's label counts and least-squares fit; D234)
proof_sample_routines	6	673b64a	git show "$SHA":docs/CLAIMS.tsv | grep -c '^proof_lines_'	paper/x86lean-semantics.tex §1, §6, §7 and §8 (the routines whose safety theorem §6 sizes, one row each, each counted by proof_lines.py, which refuses an absent theorem; D232)
recheck_d201_failed	3	673b64a	git show "$SHA":docs/DECISIONS.md | grep -m1 -E '^## D201 ' | grep -oE '[0-9]+ of [0-9]+ at-source claims fail' | grep -oE '^[0-9]+'	paper/x86lean-semantics.tex §5 (re-check sample 1, D201; D233)
recheck_d201_total	9	673b64a	git show "$SHA":docs/DECISIONS.md | grep -m1 -E '^## D201 ' | grep -oE '[0-9]+ of [0-9]+ at-source claims fail' | grep -oE 'of [0-9]+' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §5 (re-check sample 1, D201; D233)
recheck_d214_failed	3	673b64a	git show "$SHA":docs/DECISIONS.md | awk '/^## D214 /,/^## D215 /' | grep -m1 -oE '[0-9]+ of [0-9]+ rows in a table headed' | grep -oE '^[0-9]+'	paper/x86lean-semantics.tex §5 (re-check sample 2, D214; D233)
recheck_d214_total	8	673b64a	git show "$SHA":docs/DECISIONS.md | awk '/^## D214 /,/^## D215 /' | grep -m1 -oE '[0-9]+ of [0-9]+ rows in a table headed' | grep -oE 'of [0-9]+' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §5 (re-check sample 2, D214; D233)
recheck_d202_failed	3	673b64a	git show "$SHA":docs/DECISIONS.md | grep -m1 -E '^## D202 ' | grep -oE 'got [a-z]+ of [a-z]+ wrong' | awk '{print $2}' | python3 -c "import sys; w=['zero','one','two','three','four','five','six','seven','eight','nine','ten']; print(w.index(sys.stdin.read().strip()))"	paper/x86lean-semantics.tex §5 (re-check sample 3, D202, whose record states it in words; D233)
recheck_d202_total	7	673b64a	git show "$SHA":docs/DECISIONS.md | grep -m1 -E '^## D202 ' | grep -oE 'got [a-z]+ of [a-z]+ wrong' | awk '{print $4}' | python3 -c "import sys; w=['zero','one','two','three','four','five','six','seven','eight','nine','ten']; print(w.index(sys.stdin.read().strip()))"	paper/x86lean-semantics.tex §5 (re-check sample 3, D202, whose record states it in words; D233)
pin_cases	89056	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -E '^cases=' | grep -oE '(^| )cases=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
pin_matched	68524	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -E '^cases=' | grep -oE '(^| )matched=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
pin_explained	29435	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -E '^cases=' | grep -oE '(^| )explained=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
pin_diverged	171	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -E '^cases=' | grep -oE '(^| )oracle-divergence=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
pin_unexplained	0	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -E '^cases=' | grep -oE '(^| )unexplained=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
pin_leaks	0	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -E '^cases=' | grep -oE '(^| )oracle-leaks=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
pin_reference_model_short	c8897a34	960907b	git show "$SHA":docs/REFERENCE-PIN-RUN-2026-09-12.md | grep -m1 -oE '^reference-model:  acl2@[0-9a-f]{40}' | grep -oE '[0-9a-f]{40}$' | cut -c1-8	paper/x86lean-semantics.tex §4.1 (the run at the pinned reference model)
liblisa_shift_verdicts_pass	40	a832042	f=$(git show "$SHA":docs/LIBLISA-HARDWARE-CHECK-2026-09-12.md); if printf '%s\n' "$f" | grep -qE '^  FAIL '; then echo FAIL-PRESENT; else printf '%s\n' "$f" | grep -cE '^  PASS ps[a-z]+_x \(vp'; fi	paper/x86lean-semantics.tex §4.3 (a reference model that disagrees with itself; 8 shifts x 5 machines, and a FAIL line anywhere refuses the value)
cursor_cases	89056	6f01541	git show "$SHA":docs/CURSOR-LEAK-CHECK-2026-09-13.md | grep -m1 -E '^cases=' | grep -oE '(^| )cases=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §3.2 (the leak check with its cursor conjunct, Lean side only)
cursor_leaks	0	6f01541	git show "$SHA":docs/CURSOR-LEAK-CHECK-2026-09-13.md | grep -m1 -E '^cases=' | grep -oE '(^| )leaks=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §3.2 (the leak check with its cursor conjunct, Lean side only)
k_variants	3155	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE '[0-9]+ instruction variants, corresponding to [0-9]+ mnemonics' | grep -oE '^[0-9]+'	paper/x86lean-semantics.tex §7 (K's README, as recorded in G1 1b)
k_mnemonics	774	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE '[0-9]+ instruction variants, corresponding to [0-9]+ mnemonics' | grep -oE '[0-9]+ mnemonics' | grep -oE '^[0-9]+'	paper/x86lean-semantics.tex §1 and §7 (K's README, as recorded in G1 1b)
k_tests	7000	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'tested against more than [0-9,]+ instruction-level' | grep -oE '[0-9,]+' | tr -d ,	paper/x86lean-semantics.tex §7 (K's README, as recorded in G1 1b)
k_undef_files	497	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE '[0-9,]+ of [0-9,]+ per-instruction \.k files mention undef' | grep -oE '^[0-9,]+' | tr -d ,	paper/x86lean-semantics.tex §3.1 (K's tree, as measured in G1 1c.6)
k_perinst_files	3064	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE '[0-9,]+ of [0-9,]+ per-instruction \.k files mention undef' | grep -oE 'of [0-9,]+' | grep -oE '[0-9,]+' | tr -d ,	paper/x86lean-semantics.tex §3.1 (K's tree, as measured in G1 1c.6)
x86isa_opcodes	400	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'specification of \*\*[0-9]+\+ opcodes' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §7 (arXiv 1705.01225, as recorded in G1 1b)
x86isa_theorem_forms	559	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'program families carry [0-9]+' | grep -oE '[0-9]+$'	paper/x86lean-semantics.tex §7 (x86isa proofs/, as measured in G1 1c.2)
x86isa_xed_entries	186	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'MEASURED SHARE: +[0-9,]+ of [0-9,]+ INST entries' | grep -oE '[0-9,]+ of' | grep -oE '[0-9,]+' | tr -d ,	paper/x86lean-semantics.tex §7 (x86isa opcode maps, as measured in G1 1c.9)
x86isa_inst_entries	3192	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'MEASURED SHARE: +[0-9,]+ of [0-9,]+ INST entries' | grep -oE 'of [0-9,]+' | grep -oE '[0-9,]+' | tr -d ,	paper/x86lean-semantics.tex §7 (x86isa opcode maps, as measured in G1 1c.9)
liblisa_groups	118000	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'with over [0-9 ]+ different instruction groups' | grep -oE '[0-9][0-9 ]*[0-9]' | tr -d ' '	paper/x86lean-semantics.tex §1 and §7 (libLISA's abstract, as recorded in G1)
